open	high	low	fluctuation range	close	day range	adj_close
346	346.5	326.149994	20.350006	329.299988	16.700012	304.329651
340.649994	353.5	337	16.5	350	9.350006	323.459961
353	354.399994	340	14.399994	344.049988	8.950012	317.961212
346	346	329	17	330.600006	15.399994	305.531067
331.950012	339.049988	321	18.049988	323.049988	8.900024	298.553528
324	327	314.100006	12.899994	324.049988	0.049988	299.477753
328.700012	333	324	9	327.25	1.450012	302.435089
330.549988	338.5	328.649994	9.850006	337.299988	6.75	311.722992
340	347	338.399994	8.600006	340.700012	0.700012	314.865204
343.399994	352	342.149994	9.850006	344.600006	1.200012	318.469513
347.25	357.799988	346.850006	10.949982	356.049988	8.799988	329.051178
365	367	348.100006	18.899994	353.5	11.5	326.694519
356.399994	363.899994	354	9.899994	357.899994	1.5	330.760895
358.25	364.799988	355.25	9.549988	362.399994	4.149994	334.919678
364.600006	367	352.200012	14.799988	354.200012	10.399994	327.341461
356	362	347.649994	14.350006	355.299988	0.700012	328.358154
360	370.5	356.200012	14.299988	366.399994	6.399994	338.616394
368.5	372.350006	363.25	9.100006	366.649994	1.850006	338.847443
370	370.399994	362	8.399994	364.399994	5.600006	336.768097
366.700012	367	357	10	363.5	3.200012	335.93634
364.5	366.799988	358.5	8.299988	360.75	3.75	333.394806
361.5	361.5	353.100006	8.399994	357.299988	4.200012	330.206421
357	363.700012	355.149994	8.550018	356.950012	0.049988	329.882935
359	365.350006	355.700012	9.649994	363.600006	4.600006	336.028717
366.450012	366.850006	357.649994	9.200012	359.350006	7.100006	332.101013
359	361.799988	356.200012	5.599976	358	1	330.853363
362	375.049988	357.5	17.549988	358.850006	3.149994	331.638885
360.5	362.899994	353.549988	9.350006	355.299988	5.200012	328.358154
360.899994	370.950012	357	13.950012	369.299988	8.399994	341.296539
371	384	371	13	382.75	11.75	353.726624
386.899994	386.899994	367.5	19.399994	371.200012	15.699982	343.052399
373.700012	379	368.299988	10.700012	375.200012	1.5	346.749115
378	381.450012	374.100006	7.350006	374.950012	3.049988	346.518097
377.700012	385.700012	377.200012	8.5	380.399994	2.699982	351.554749
383	390.399994	379	11.399994	380.350006	2.649994	351.508606
380.049988	384.700012	365.600006	19.100006	370.049988	10	341.989685
372.700012	385	364.5	20.5	382.049988	9.349976	353.079681
386.200012	404.950012	386.200012	18.75	400.350006	14.149994	369.992035
410	448	406	42	439.700012	29.700012	406.358215
439.100006	445.899994	415.850006	30.049988	418.950012	20.149994	387.18158
420	428	406.700012	21.299988	423.350006	3.350006	391.247894
425	437.899994	425	12.899994	434.200012	9.200012	401.275269
454.649994	454.649994	427.399994	27.25	431.100006	23.549988	398.410309
434.799988	440	397	43	401.149994	33.649994	370.731415
402.100006	430.850006	391.5	39.350006	424.399994	22.299988	392.218384
428.799988	431.399994	400.049988	31.350006	405.549988	23.25	374.797668
406	413.899994	375	38.899994	381.700012	24.299988	352.756256
379	399.399994	366.600006	32.799988	371.399994	7.600006	343.237244
377	420	374.5	45.5	415.450012	38.450012	383.946991
424.700012	437.799988	341.100006	96.699982	431.350006	6.649994	398.641357
436.899994	438.799988	413.600006	25.199982	418.700012	18.199982	386.950592
420	441.5	414.350006	27.149994	433.799988	13.799988	400.905457
400.100006	444.700012	400.100006	44.600006	431.75	31.649994	399.010986
435.950012	442	400.549988	41.450012	406.450012	29.5	375.629456
410	446	410	36	442.549988	32.549988	408.992065
441	453	427	26	433.5	7.5	400.628265
438.5	450.700012	433.75	16.950012	448.649994	10.149994	414.629456
445	469.899994	445	24.899994	465.649994	20.649994	430.340363
